Title,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Percent Discounted,press on nails,Paid,Best Seller,,,,,,,,,
Revenue,press on nails,Paid,Past Month Sales Volume,107.88,107.88,107.88,1.0,,107.88,107.88,107.88,107.88
Price,press on nails,Paid,Past Month Sales Volume,8.99,8.99,8.99,1.0,,8.99,8.99,8.99,8.99
Rating,press on nails,Paid,Past Month Sales Volume,3.7,3.7,3.7,1.0,,3.7,3.7,3.7,3.7
Reviews Count,press on nails,Paid,Past Month Sales Volume,12.0,12.0,12.0,1.0,,12.0,12.0,12.0,12.0
Amount Discounted,press on nails,Paid,Past Month Sales Volume,,,,,,,,,
Percent Discounted,press on nails,Paid,Past Month Sales Volume,,,,,,,,,
Revenue,press on nails,Paid,Prime,245.77,111.84,107.88,1.0,235.41,517.59,107.88,109.86,314.72
Price,press on nails,Paid,Prime,7.76,7.29,6.99,1.0,1.08,8.99,6.99,7.14,8.14
Rating,press on nails,Paid,Prime,3.73,3.7,3.5,1.0,0.25,4.0,3.5,3.6,3.85
Reviews Count,press on nails,Paid,Prime,33.0,16.0,12.0,1.0,32.97,71.0,12.0,14.0,43.5
Amount Discounted,press on nails,Paid,Prime,1.61,1.61,1.61,1.0,,1.61,1.61,1.61,1.61
Percent Discounted,press on nails,Paid,Prime,0.18,0.18,0.18,1.0,,0.18,0.18,0.18,0.18
Revenue,nail stickers,Organic,All,2064.43,125.79,5.99,15.0,10464.2,212262.89,1.18,20.97,821.59
Price,nail stickers,Organic,All,7.16,6.98,6.99,120.0,4.35,103.99,1.18,5.99,7.99
Rating,nail stickers,Organic,All,4.02,4.3,5.0,101.0,1.1,5.0,0.0,3.9,4.6
Reviews Count,nail stickers,Organic,All,252.66,19.0,1.0,83.0,1211.56,23611.0,1.0,3.0,125.5
Amount Discounted,nail stickers,Organic,All,1.37,1.0,1.0,26.0,1.07,5.0,0.3,0.63,1.64
Percent Discounted,nail stickers,Organic,All,0.17,0.14,0.13,10.0,0.11,0.5,0.05,0.1,0.2
Revenue,nail stickers,Organic,Best Seller,35248.46,35248.46,7235.92,1.0,39615.71,63261.0,7235.92,21242.19,49254.73
Price,nail stickers,Organic,Best Seller,9.75,9.75,5.99,1.0,5.31,13.5,5.99,7.87,11.62
Rating,nail stickers,Organic,Best Seller,4.1,4.1,3.8,1.0,0.42,4.4,3.8,3.95,4.25
Reviews Count,nail stickers,Organic,Best Seller,2947.0,2947.0,1208.0,1.0,2459.32,4686.0,1208.0,2077.5,3816.5
Amount Discounted,nail stickers,Organic,Best Seller,,,,,,,,,
Percent Discounted,nail stickers,Organic,Best Seller,,,,,,,,,
Revenue,nail stickers,Organic,Past Month Sales Volume,4352.39,490.47,13.98,5.0,17198.17,212262.89,5.99,117.61,2170.29
Price,nail stickers,Organic,Past Month Sales Volume,7.32,6.99,6.99,45.0,2.1,16.99,3.99,5.99,7.99
Rating,nail stickers,Organic,Past Month Sales Volume,4.05,4.3,4.4,31.0,1.01,5.0,0.0,4.0,4.5
Reviews Count,nail stickers,Organic,Past Month Sales Volume,512.47,66.5,2.0,10.0,1949.1,23611.0,1.0,18.0,297.0
Amount Discounted,nail stickers,Organic,Past Month Sales Volume,1.56,1.0,1.0,10.0,1.39,5.0,0.31,0.63,1.88
Percent Discounted,nail stickers,Organic,Past Month Sales Volume,0.17,0.13,0.13,7.0,0.11,0.42,0.05,0.11,0.19
