Title,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Price,cubic zirconia,Paid,All,55.38,19.99,12.99,30.0,144.38,1650.0,5.49,13.95,40.49
Rating,cubic zirconia,Paid,All,4.14,4.4,4.5,88.0,1.08,5.0,0.0,4.1,4.6
Reviews Count,cubic zirconia,Paid,All,487.23,36.0,1.0,23.0,1785.98,16730.0,1.0,9.0,205.75
Amount Discounted,cubic zirconia,Paid,All,5.87,3.0,1.0,12.0,8.52,44.14,1.0,2.0,5.59
Percent Discounted,cubic zirconia,Paid,All,0.17,0.13,0.07,9.0,0.11,0.5,0.05,0.09,0.22
Revenue,cubic zirconia,Paid,Best Seller,128749.11,128749.11,128749.11,1.0,,128749.11,128749.11,128749.11,128749.11
Price,cubic zirconia,Paid,Best Seller,14.99,14.99,14.99,1.0,,14.99,14.99,14.99,14.99
Rating,cubic zirconia,Paid,Best Seller,4.3,4.3,4.3,1.0,,4.3,4.3,4.3,4.3
Reviews Count,cubic zirconia,Paid,Best Seller,8589.0,8589.0,8589.0,1.0,,8589.0,8589.0,8589.0,8589.0
Amount Discounted,cubic zirconia,Paid,Best Seller,,,,,,,,,
Percent Discounted,cubic zirconia,Paid,Best Seller,,,,,,,,,
Revenue,cubic zirconia,Paid,Past Month Sales Volume,46014.19,4515.48,749.5,3.0,147835.53,1212977.28,19.98,749.5,30851.01
Price,cubic zirconia,Paid,Past Month Sales Volume,21.74,14.99,9.99,9.0,21.34,129.99,7.99,12.99,19.99
Rating,cubic zirconia,Paid,Past Month Sales Volume,4.3,4.4,4.4,16.0,0.71,5.0,0.0,4.2,4.6
Reviews Count,cubic zirconia,Paid,Past Month Sales Volume,1788.46,239.0,6.0,4.0,3777.6,16730.0,1.0,50.0,1316.0
Amount Discounted,cubic zirconia,Paid,Past Month Sales Volume,6.6,2.0,2.0,4.0,11.62,43.76,1.0,2.0,5.0
Percent Discounted,cubic zirconia,Paid,Past Month Sales Volume,0.2,0.13,0.13,2.0,0.13,0.5,0.07,0.1,0.28
Revenue,cubic zirconia,Paid,Prime,14479.93,1148.02,361.2,7.0,68818.62,1212977.28,7.99,199.8,5522.98
Price,cubic zirconia,Paid,Prime,41.84,19.99,12.99,30.0,105.55,1650.0,5.49,13.56,37.0
Rating,cubic zirconia,Paid,Prime,4.17,4.4,4.5,83.0,1.03,5.0,0.0,4.12,4.6
Reviews Count,cubic zirconia,Paid,Prime,521.83,36.0,1.0,20.0,1854.34,16730.0,1.0,9.0,238.0
Amount Discounted,cubic zirconia,Paid,Prime,5.89,3.0,1.0,12.0,8.64,44.14,1.0,2.0,5.39
Percent Discounted,cubic zirconia,Paid,Prime,0.17,0.13,0.07,9.0,0.11,0.5,0.05,0.09,0.22
Revenue,sterling silver,Organic,All,16120.66,2410.32,9.99,24.0,43634.54,870240.0,0.07,432.64,11773.27
Price,sterling silver,Organic,All,35.62,17.99,9.99,1001.0,99.18,9589.99,0.07,12.99,33.99
Rating,sterling silver,Organic,All,4.24,4.4,4.5,2533.0,0.78,5.0,0.0,4.2,4.6
Reviews Count,sterling silver,Organic,All,881.2,104.0,1.0,672.0,2555.2,47303.0,1.0,17.0,599.0
Amount Discounted,sterling silver,Organic,All,5.09,2.71,1.0,277.0,9.0,145.01,0.5,1.0,5.0
Percent Discounted,sterling silver,Organic,All,0.2,0.15,0.07,52.0,0.15,0.96,0.05,0.09,0.25
