Title,Category ID,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Rating,11968951,violin,Organic,Amazon's Choice,4.5,4.5,4.5,1,,4.5,4.5,4.5,4.5
Reviews Count,11968951,violin,Organic,Amazon's Choice,48.0,48.0,48.0,1,,48.0,48.0,48.0,48.0
Amount Discounted,11968951,violin,Organic,Amazon's Choice,8.4,8.4,8.4,1,,8.4,8.4,8.4,8.4
Percent Discounted,11968951,violin,Organic,Amazon's Choice,0.12,0.12,0.12,1,,0.12,0.12,0.12,0.12
Revenue,11968951,violin,Paid,All,265822.2,201184.01,3997.25,1,305039.16,656923.52,3997.25,34161.3,432844.9
Price,11968951,violin,Paid,All,93.45,86.99,39.92,1,52.98,159.89,39.92,57.97,122.46
Rating,11968951,violin,Paid,All,4.3,4.2,4.1,2,0.28,4.7,4.1,4.1,4.4
Reviews Count,11968951,violin,Paid,All,5620.0,2999.5,25.0,1,7658.35,16456.0,25.0,307.75,8311.75
Amount Discounted,11968951,violin,Paid,All,35.36,26.0,10.07,1,31.04,70.0,10.07,18.03,48.0
Percent Discounted,11968951,violin,Paid,All,0.26,0.29,0.2,1,0.06,0.3,0.2,0.25,0.3
Revenue,11968951,violin,Paid,Past Month Sales Volume,507537.78,507537.78,358152.03,1,211263.35,656923.52,358152.03,432844.9,582230.65
Price,11968951,violin,Paid,Past Month Sales Volume,51.96,51.95,39.92,1,17.02,63.99,39.92,45.94,57.97
Rating,11968951,violin,Paid,Past Month Sales Volume,4.5,4.5,4.3,1,0.28,4.7,4.3,4.4,4.6
Reviews Count,11968951,violin,Paid,Past Month Sales Volume,11026.5,11026.5,5597.0,1,7678.47,16456.0,5597.0,8311.75,13741.25
Amount Discounted,11968951,violin,Paid,Past Month Sales Volume,18.03,18.03,10.07,1,11.26,26.0,10.07,14.05,22.02
Percent Discounted,11968951,violin,Paid,Past Month Sales Volume,0.25,0.25,0.2,1,0.06,0.29,0.2,0.22,0.27
Revenue,11968951,violin,Paid,Prime,265822.2,201184.01,3997.25,1,305039.16,656923.52,3997.25,34161.3,432844.9
