Title,Keyword,Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Prices,aquamarine,Organic,88.86,31.99,9.99,218,173.61,3646.2,1.06,14.99,79.99
Rating,aquamarine,Organic,4.15,4.4,5.0,721,1.06,5.0,0.0,4.1,4.6
Reviews Count,aquamarine,Organic,491.84,24.0,1.0,514,2136.15,88643.0,1.0,4.0,192.0
Best Sellers Revenue,aquamarine,Organic,285830.5,84885.03,716.16,1,397445.35,1021398.6,716.16,7707.79,535791.3
Best Sellers Prices,aquamarine,Organic,22.8,12.98,9.99,4,18.79,65.0,8.99,9.99,30.97
Past Month Sales Revenue,aquamarine,Organic,67928.98,20989.93,169510.32,3,149469.43,1212722.31,43.0,4742.2,66346.45
Past Month Sales Prices,aquamarine,Organic,23.22,13.99,9.99,25,21.92,156.0,3.29,11.95,24.98
Prime Revenue,aquamarine,Organic,13958.28,1505.0,99.99,17,52516.5,1212722.31,4.99,279.86,8127.29
Prime Prices,aquamarine,Organic,64.9,26.99,9.99,212,131.48,3646.2,1.48,13.99,59.99
Amount Discounted,aquamarine,Organic,9.42,4.0,1.0,27,15.23,100.0,0.5,1.89,10.0
Percentage Discounted,aquamarine,Organic,0.2,0.15,0.29,6,0.15,0.71,0.05,0.09,0.29
Revenue,aquamarine,Paid,12673.82,2028.55,299.88,6,45967.79,780903.12,9.99,319.64,8545.5
Prices,aquamarine,Paid,72.21,29.99,39.99,24,167.03,1740.0,4.99,14.99,49.99
Rating,aquamarine,Paid,4.28,4.5,4.5,92,0.78,5.0,0.0,4.2,4.6
Reviews Count,aquamarine,Paid,421.35,61.0,1.0,26,1322.65,15528.0,1.0,9.0,327.0
Best Sellers Revenue,aquamarine,Paid,390883.02,390883.02,862.92,1,551571.72,780903.12,862.92,195872.97,585893.07
Best Sellers Prices,aquamarine,Paid,29.14,29.14,7.99,1,29.91,50.29,7.99,18.56,39.72
Past Month Sales Revenue,aquamarine,Paid,39487.34,8572.32,16363.62,2,112029.07,780903.12,44.97,1241.52,21623.99
Past Month Sales Prices,aquamarine,Paid,27.67,18.49,9.99,5,24.44,99.99,4.99,12.23,34.46
Prime Revenue,aquamarine,Paid,13154.48,2336.1,299.88,6,48115.63,780903.12,9.99,415.82,8664.08
Prime Prices,aquamarine,Paid,64.56,25.0,14.99,21,158.25,1740.0,4.99,13.99,49.99
Amount Discounted,aquamarine,Paid,14.98,4.0,2.0,5,43.92,287.5,0.5,2.0,10.0
Percentage Discounted,aquamarine,Paid,0.18,0.16,0.12,4,0.1,0.4,0.05,0.11,0.23
Revenue,lapis lazuli,Organic,5031.67,404.73,9.99,13,23043.15,991392.09,3.99,99.99,2186.94
Prices,lapis lazuli,Organic,39.24,19.99,9.99,239,114.63,2859.88,2.99,12.99,34.99
Rating,lapis lazuli,Organic,3.59,4.4,0.0,656,1.74,5.0,0.0,3.7,4.6
Reviews Count,lapis lazuli,Organic,302.13,14.0,1.0,436,1115.49,24791.0,1.0,4.0,105.5
Best Sellers Revenue,lapis lazuli,Organic,6566.43,9230.13,1443.59,1,4639.25,11678.31,1443.59,1805.09,10001.38
Best Sellers Prices,lapis lazuli,Organic,9.99,9.99,9.99,2,3.4,14.49,5.99,7.49,12.24
Past Month Sales Revenue,lapis lazuli,Organic,30968.59,4849.03,179.82,2,107423.37,991392.09,101.83,1984.06,24431.46
Past Month Sales Prices,lapis lazuli,Organic,17.3,14.99,9.99,10,11.47,97.99,5.99,10.49,19.99
Prime Revenue,lapis lazuli,Organic,6690.0,659.88,9.99,11,27255.91,991392.09,3.99,129.0,3776.86
Prime Prices,lapis lazuli,Organic,27.0,17.99,9.99,221,35.8,650.0,3.99,11.99,27.0
Amount Discounted,lapis lazuli,Organic,5.15,3.0,2.0,24,14.21,178.25,0.6,1.9,5.0
